 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10
1,14.748,14.388,17.222,13.663,13.720,9.884,13.243,10.030,15.970,9.303
2,13.684,14.321,17.039,13.625,14.736,10.003,13.617,9.847,15.442,9.360
3,13.144,12.777,14.262,11.306,12.146,8.681,11.631,9.315,13.655,8.172
4,13.564,13.269,15.917,12.734,13.662,9.091,12.519,9.601,15.393,8.080
5,12.145,12.240,15.080,11.839,12.693,8.396,11.481,8.304,13.407,7.818
6,11.831,11.922,14.257,10.704,11.282,8.249,10.664,8.088,12.673,7.427
7,12.812,12.896,15.495,12.360,12.901,9.081,12.528,8.877,14.520,8.247
8,11.242,11.126,13.320,10.577,10.910,7.548,10.244,8.071,12.244,6.853
9,14.395,14.058,17.254,13.172,14.325,9.263,12.691,10.303,16.555,8.811
10,10.793,10.622,13.257,10.016,10.451,7.316,10.201,7.195,11.556,6.590
11,11.136,10.871,13.448,10.158,10.342,7.298,10.339,7.649,12.153,6.992
12,12.048,11.499,14.044,10.327,10.835,8.004,10.603,8.203,12.614,7.582
13,16.637,14.964,17.610,13.959,14.219,9.580,12.018,9.456,15.844,8.279
14,17.520,16.514,21.123,16.273,17.107,11.761,15.304,11.936,19.503,10.660
15,19.096,17.346,22.544,18.114,17.481,12.190,15.728,12.595,20.928,11.306
16,19.284,18.861,23.404,19.384,18.659,13.114,17.147,14.456,21.355,13.061
17,18.653,17.261,20.906,17.457,17.047,11.896,15.598,11.861,19.721,11.899
18,20.121,17.933,22.032,18.584,18.243,12.715,16.244,13.552,20.870,12.545
19,17.892,17.055,21.263,17.245,18.052,11.479,14.953,11.980,19.542,10.688
20,19.932,19.775,23.630,19.070,20.514,14.242,17.313,14.356,21.807,13.411
21,25.294,23.726,27.781,22.973,25.177,16.471,21.050,18.369,28.731,16.879
22,23.888,21.216,26.432,20.417,23.172,14.485,19.496,16.487,26.545,15.198
23,21.587,19.692,25.224,19.766,21.619,13.944,18.618,16.674,24.807,14.366
24,22.229,20.622,25.591,19.984,21.456,14.679,18.212,16.531,24.923,14.386
25,20.803,19.293,24.305,19.123,21.522,12.822,17.258,16.005,23.594,12.323
