 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10
1,8.897,10.031,13.302,9.999,11.020,9.392,10.270,8.775,11.306,9.321
2,9.316,10.473,14.187,10.004,11.569,9.933,10.514,9.347,11.366,9.407
3,8.464,9.709,13.236,9.052,10.044,8.949,9.917,8.658,10.677,8.644
4,8.932,10.168,14.190,9.812,11.024,9.794,10.763,9.092,11.436,9.711
5,9.180,10.373,13.847,10.756,12.250,9.766,11.120,9.340,11.457,9.764
6,8.992,10.503,14.235,10.680,11.361,9.786,10.711,9.698,11.894,10.007
7,7.841,9.131,12.235,9.343,9.967,8.719,9.837,8.181,9.687,8.437
8,8.209,9.696,12.756,9.645,10.330,9.001,10.149,8.492,10.774,8.912
9,8.656,9.452,12.558,8.847,10.181,8.526,10.070,8.446,10.456,8.812
10,8.179,9.355,12.873,9.361,10.293,9.143,9.960,8.199,10.354,9.041
11,8.348,9.237,12.697,9.605,10.127,9.101,10.222,8.612,10.317,8.858
12,8.751,9.951,13.145,9.787,10.407,9.805,10.711,9.003,10.904,9.164
13,8.091,9.632,12.942,9.071,10.752,9.370,10.422,8.340,10.882,9.439
14,9.428,10.432,12.966,10.085,11.558,9.938,11.226,8.775,11.170,10.073
15,10.639,11.398,14.418,10.850,12.788,11.083,11.939,9.768,12.732,10.132
16,11.470,12.768,17.187,12.657,14.238,12.703,13.887,10.742,15.459,11.003
17,11.879,13.296,18.807,13.496,14.226,13.214,15.156,11.261,16.155,11.553
18,12.797,13.240,18.886,13.294,15.104,14.366,15.252,11.715,17.258,12.084
19,15.174,15.391,21.173,16.105,17.259,15.788,16.770,13.210,19.687,14.750
20,14.779,15.149,21.474,15.620,17.785,15.667,17.085,12.970,19.381,14.045
21,13.408,14.188,19.766,15.077,17.155,14.445,16.070,12.183,19.233,13.049
22,13.910,14.632,20.555,16.113,17.158,15.226,16.726,12.335,18.155,13.453
23,15.495,15.237,22.359,16.200,17.963,16.079,17.057,12.705,19.482,14.239
24,14.540,15.008,21.489,16.932,18.056,15.661,16.577,13.076,19.351,14.157
25,14.861,15.099,22.821,16.386,18.309,15.173,17.250,13.251,19.785,15.567
