 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10
1,18.843,13.247,9.305,6.751,9.657,8.158,11.423,10.153,10.452,9.367
2,17.335,11.818,8.622,6.203,9.105,7.982,10.439,9.150,9.674,8.220
3,17.442,12.222,8.973,6.523,9.658,8.398,11.573,9.857,10.209,8.834
4,17.024,12.017,9.122,6.535,9.308,8.078,11.129,10.094,9.897,8.339
5,15.664,11.330,8.427,6.395,8.805,7.821,10.622,8.999,9.086,7.978
6,15.245,10.988,8.051,6.051,9.005,7.594,10.290,8.313,9.016,7.936
7,14.543,10.005,7.539,5.725,8.142,6.832,9.501,8.220,8.686,7.466
8,15.285,10.180,8.195,5.851,8.654,7.095,10.029,8.237,8.421,7.636
9,14.867,9.842,7.867,6.011,8.509,6.800,9.671,8.385,8.188,7.508
10,15.097,10.367,8.024,5.617,8.187,6.857,9.204,7.880,7.851,7.412
11,15.279,10.760,8.458,6.090,8.553,7.592,10.175,8.380,8.865,7.394
12,15.659,11.440,8.383,5.670,8.540,7.601,10.280,9.071,9.237,7.677
13,25.724,16.983,15.290,10.409,15.611,12.555,15.471,12.875,15.427,13.776
14,24.505,16.778,14.857,9.586,14.448,11.628,15.313,11.904,14.408,11.710
15,30.895,20.208,17.858,12.684,17.577,14.618,18.015,15.297,17.920,15.131
16,23.846,15.348,12.060,8.626,13.477,10.533,13.811,11.485,12.943,10.869
17,25.155,16.298,13.750,9.233,14.697,12.166,15.430,12.287,14.569,13.021
18,23.961,16.103,12.959,8.973,14.424,11.587,14.598,12.679,14.304,11.884
19,30.609,19.047,15.687,11.511,17.541,14.954,17.187,14.788,18.343,15.125
20,25.607,17.282,13.946,9.819,14.747,13.151,15.296,13.454,14.908,13.333
21,24.700,16.041,13.617,9.450,14.522,11.621,14.749,12.430,14.094,12.235
22,30.041,18.026,14.130,10.514,16.420,14.130,15.386,13.348,16.676,13.473
23,27.815,17.384,15.125,11.029,15.776,13.341,15.383,13.060,15.759,13.269
24,26.195,16.437,13.910,10.711,14.679,12.104,14.612,12.117,15.079,12.269
25,24.202,16.236,13.835,10.095,14.357,11.825,14.880,12.739,14.436,12.347
