Time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
00:00,179.65453495089542,300.5167837626854,858.5451213925791,226.73084156088387,265.5457995951417,153.98841594827587,765.1690340909091,695.2541573033708,219.1204592186429,272.794836330106,687.682786885246,146.56823368324964,299.80517057569296,529.5454389280193,390.32653985507244,476.70856830998724,393.39833243679396,496.00018892877387,264.7324185248714,291.4954053502144,324.0519724483406,512.9241304739593,627.6740724762726,581.8138496976677,452.7361403508772,465.26007881176116,418.15704665704664,188.53588774959525,391.3145123658423,500.6601101494886,133.1399416909621,379.40387275242045
00:10,183.48700173310226,309.86149162861494,855.7946837763519,223.90201593999063,268.3737630043136,150.50387389794284,730.0741518013291,680.8405569279138,216.9453781512605,268.1554737810488,693.0511770726714,150.03055555555557,300.8533013844515,522.2694158075601,388.22617160968986,467.72174704276614,396.2564655172414,479.00859763087504,268.85760039418574,288.67014742014743,320.22576610381486,522.3647593097185,624.4620021528525,587.2262384792626,453.2971149371801,462.3091068301226,417.86605415860737,191.66449157150626,390.6071263304026,493.3469832808335,137.00507246376813,403.15525423728815
00:20,184.1607865818392,299.94736842105266,851.8194633924511,228.89066166119193,267.63556778389193,149.62509467306236,699.7630331753554,683.5836523305562,219.3299709352026,261.4901376146789,668.606048222313,155.87734864300626,291.59750596975323,509.5946878233874,389.35327570518655,452.24152387896464,391.58588873812755,473.5998093422307,260.07731832640076,285.86270491803276,311.5249791840133,497.9198910081744,612.044434949797,577.1009748290412,460.7144805637645,445.1585400627317,416.6379643029426,190.4929347826087,385.7664809656453,416.6267387944359,134.02474526928674,391.29172320217094
00:30,183.06620610247552,311.00768049155147,841.6485870556062,227.71422018348625,272.12633451957294,146.1560445118867,712.2991162474507,664.9916327453641,219.29237652727585,257.45362949393177,679.4853849320708,154.02763703362507,291.2387580299786,521.3875408707623,387.23103057757646,438.92909223477943,401.15586546349465,471.7483163363479,252.1864573110893,279.4778325123153,301.3890735355214,489.4024279760826,617.5191979522184,572.2833382833383,460.63177694180126,438.6975687950842,410.4890367085489,197.19251336898395,383.5063113604488,414.35910320834944,140.27469358327326,419.4490489130435
00:40,200.06847826086957,310.307634164777,823.5143755615454,227.9173476535139,271.1713852376138,147.94505214958025,692.7260181756984,661.7448165869218,219.08975012748598,252.54445210199862,662.4048207663783,157.93056286165177,285.39222990952635,511.0946858230916,383.0,422.7059357415139,401.3514394350896,459.77013261579856,253.4005442850074,275.22748913268475,293.3217964565307,467.3860599494402,615.7095533233597,568.191094890511,452.4956601187757,423.42194092827003,405.54803337306316,196.69354838709677,375.4525011473153,406.3997305619707,142.72086330935252,420.2132604237867
00:50,200.86467391304348,310.00382848392036,842.0514311270125,231.6576763485477,272.19726513041275,151.56795077581594,775.5760028149191,678.327582292849,219.03459496489126,263.07107061503416,655.4488916256157,155.88929889298893,290.7710168134508,501.80843373493974,384.9066487575554,441.8297331639136,402.3207958571818,459.18559662899827,257.1875461481664,278.5292415788386,307.52907216494845,486.6333811401936,616.4099031216361,571.6461516077404,452.26947608200453,432.44741673223183,410.6446402349486,193.66470588235293,379.01197604790417,475.09911894273125,139.0446559297218,394.51771117166214
01:00,183.88228636106396,316.894858019954,857.2292792792792,228.36374351720886,268.5522128294381,153.55183498526654,771.4129077029841,675.4799453053784,220.37223270979922,265.8238258877434,661.4405196914332,149.14312267657994,297.2904255319149,501.79827437446073,388.03784994400894,454.3956023986916,410.3476112026359,468.5643241167435,263.02501214181643,280.11554361306327,315.8156320890905,490.59460425227803,624.4235115167319,583.7022751243031,467.10650633455015,434.53217299578057,417.1440470357668,190.64426666666665,381.21566820276496,487.4462419113987,133.08229243203527,423.01417004048585
01:10,194.2173100871731,312.5419847328244,845.432948490231,234.47034577513168,268.2871098403622,162.39845116162877,747.9694158075602,674.9997700091997,225.7425338527175,263.7969856131537,640.5033929673041,149.63071895424838,291.01490154337415,518.5893135051011,388.7165425411871,437.77676786038904,402.03249590387765,440.54470294174195,254.67240125999515,278.4010761589404,308.3244407962241,475.0763590844063,630.7894390885189,571.443561208267,460.6247427395381,438.08395677472987,405.8448959365709,194.6403785488959,380.0543071161049,419.22320875490396,141.0571858540256,404.32972241029114
01:20,191.25808383233533,310.6360856269113,843.1049355269008,235.19967978042087,267.8310026072529,152.05765670457552,745.8046448087432,681.0163896583564,222.49400274160385,264.74388291790535,635.5573804146992,157.82082452431288,292.1169901621909,507.15538194444446,387.4565364642131,439.86167512690355,403.4344978165939,453.89816779170684,258.4578576633471,276.4864085667216,316.19066068515497,477.01234788833216,637.8820682068207,569.8569359976832,462.340206185567,428.5688511541523,406.17458374142996,189.0952380952381,377.6405890473999,467.84476967370443,146.4280442804428,396.8717598908595
01:30,193.92069392812888,309.1837837837838,840.7704774419624,235.8423464711274,259.4461678832117,160.35517498138495,788.4383368569415,675.7875432525951,226.5701915991157,268.0066712675408,633.8161343161344,158.85532591414943,285.33962264150944,520.3855946982909,392.35266245487367,441.2427378358751,407.9109155897718,452.9652831652444,252.75808007718283,279.6225760359257,310.62042900919306,480.87720848056534,645.0057243505064,559.3850159097483,458.33948928408574,425.8387010198604,401.1178901312591,193.86097691894793,377.86629526462394,467.57719255858905,144.43023255813952,396.3280929596719
